#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Sound Card
#Serial Number: 
#Date Time: 2021-03-02 17:08:58.776
#Sample rate: 96000Hz
#Samples: 16384
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Pulse
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.05851102150537634,0.20440673828125,0.204376220703125
-0.05850060483870968,0.206268310546875,0.206268310546875
-0.05849018817204301,0.207550048828125,0.207550048828125
-0.05847977150537634,0.208709716796875,0.208709716796875
-0.05846935483870967,0.21038818359375,0.21038818359375
-0.05845893817204301,0.2119140625,0.211944580078125
-0.05844852150537634,0.21240234375,0.21246337890625
-0.05843810483870968,0.21258544921875,0.212554931640625
-0.05842768817204301,0.21435546875,0.214385986328125
-0.05841727150537634,0.217681884765625,0.217681884765625
-0.05840685483870967,0.217620849609375,0.217620849609375
-0.05839643817204301,0.207611083984375,0.207611083984375
-0.05838602150537634,0.1856689453125,0.185638427734375
-0.05837560483870968,0.156646728515625,0.156646728515625
-0.05836518817204301,0.12786865234375,0.127838134765625
-0.05835477150537634,0.10296630859375,0.10296630859375
-0.05834435483870967,0.081024169921875,0.08099365234375
-0.05833393817204301,0.05987548828125,0.059906005859375
-0.05832352150537634,0.039459228515625,0.039459228515625
-0.05831310483870968,0.020599365234375,0.020599365234375
-0.05830268817204301,0.0035400390625,0.003509521484375
-0.05829227150537634,-0.01251220703125,-0.01251220703125
-0.05828185483870967,-0.02789306640625,-0.027923583984375
-0.05827143817204301,-0.042327880859375,-0.0423583984375
-0.05826102150537634,-0.055511474609375,-0.055511474609375
-0.05825060483870968,-0.06768798828125,-0.067657470703125
-0.05824018817204301,-0.079345703125,-0.079345703125
-0.05822977150537634,-0.090484619140625,-0.090484619140625
-0.05821935483870967,-0.100830078125,-0.100860595703125
-0.05820893817204301,-0.11041259765625,-0.110382080078125
-0.05819852150537634,-0.119293212890625,-0.1192626953125
-0.05818810483870968,-0.12762451171875,-0.12762451171875
-0.05817768817204301,-0.135498046875,-0.135467529296875
-0.05816727150537634,-0.142730712890625,-0.142730712890625
-0.05815685483870967,-0.149505615234375,-0.149444580078125
-0.05814643817204301,-0.15576171875,-0.15576171875
-0.05813602150537634,-0.16156005859375,-0.16156005859375
-0.05812560483870968,-0.1668701171875,-0.1668701171875
-0.05811518817204301,-0.1717529296875,-0.171783447265625
-0.05810477150537634,-0.176422119140625,-0.176422119140625
-0.05809435483870967,-0.1807861328125,-0.1807861328125
-0.05808393817204301,-0.1846923828125,-0.184722900390625
-0.05807352150537634,-0.18829345703125,-0.18829345703125
-0.05806310483870968,-0.191650390625,-0.191619873046875
-0.05805268817204301,-0.1947021484375,-0.194732666015625
-0.05804227150537634,-0.197296142578125,-0.19732666015625
-0.05803185483870967,-0.199493408203125,-0.199493408203125
-0.05802143817204301,-0.201629638671875,-0.20166015625
-0.05801102150537634,-0.203826904296875,-0.203826904296875
-0.05800060483870968,-0.2056884765625,-0.205718994140625
-0.05799018817204301,-0.206939697265625,-0.20697021484375
-0.05797977150537634,-0.2081298828125,-0.2081298828125
-0.05796935483870967,-0.20977783203125,-0.209747314453125
-0.05795893817204301,-0.211273193359375,-0.2113037109375
-0.05794852150537634,-0.211822509765625,-0.2117919921875
-0.05793810483870968,-0.212005615234375,-0.211944580078125
-0.05792768817204301,-0.21380615234375,-0.213775634765625
-0.05791727150537634,-0.217071533203125,-0.217071533203125
-0.05790685483870967,-0.216949462890625,-0.216949462890625
-0.05789643817204301,-0.20697021484375,-0.207000732421875
-0.05788602150537634,-0.18524169921875,-0.185211181640625
-0.05787560483870968,-0.15655517578125,-0.15655517578125
-0.05786518817204301,-0.12811279296875,-0.12811279296875
-0.05785477150537634,-0.103485107421875,-0.103485107421875
-0.05784435483870967,-0.08160400390625,-0.081573486328125
-0.05783393817204301,-0.060455322265625,-0.060455322265625
-0.05782352150537634,-0.03997802734375,-0.03997802734375
-0.05781310483870968,-0.0211181640625,-0.021087646484375
-0.05780268817204301,-0.003997802734375,-0.003997802734375
-0.05779227150537634,0.0120849609375,0.0120849609375
-0.05778185483870967,0.027557373046875,0.02752685546875
-0.05777143817204301,0.042022705078125,0.042022705078125
-0.05776102150537634,0.05517578125,0.05517578125
-0.05775060483870968,0.06744384765625,0.067413330078125
-0.05774018817204301,0.07916259765625,0.079193115234375
-0.05772977150537634,0.09039306640625,0.09039306640625
-0.05771935483870967,0.100799560546875,0.100799560546875
-0.05770893817204301,0.110382080078125,0.110382080078125
-0.05769852150537634,0.11932373046875,0.119354248046875
-0.05768810483870968,0.127777099609375,0.127777099609375
